"","ini.label","fin.label","freq"
"5","IL10+TGFB+","IL10+TGFB+",112
"30","Th0","Th0",74
"15","IL10+TGFB+/TregIL10+","IL10+TGFB+/TregIL10+",56
"14","IL10+TGFB+/TregIL10+","IL10+TGFB+",53
"51","TregIL10+","TregIL10+",32
"1","IL10+","IL10+",28
"46","TregIL10+","IL10+TGFB+",28
"37","Th17","Th17",26
"43","Treg","Treg",24
"20","IL10+TGFB+/TregIL10+","TregIL10+",22
"12","IL10+TGFB+","TregIL10+",18
"22","RORGT+/TGFB+","RORGT+/TGFB+",17
"34","Th0/Th0","Th0/Th0",14
"2","IL10+","IL10+TGFB+",10
"4","IL10+TGFB+","IL10+",10
"13","IL10+TGFB+/TregIL10+","IL10+",9
"19","IL10+TGFB+/TregIL10+","Treg",9
"24","RORGT+/TGFB+","Treg",9
"26","TGFB+","TGFB+",9
"21","RORGT+/TGFB+","IL10+TGFB+",8
"35","Th17","IL10+TGFB+",8
"44","Treg","TregIL10+",8
"47","TregIL10+","IL10+TGFB+/TregIL10+",8
"50","TregIL10+","Treg",8
"8","IL10+TGFB+","Th0",7
"23","RORGT+/TGFB+","Th17",6
"29","Th0","TGFB+",6
"32","Th0","Treg",6
"33","Th0/Th0","Th0",6
"17","IL10+TGFB+/TregIL10+","Th0",5
"18","IL10+TGFB+/TregIL10+","Th0/Th0",4
"25","TGFB+","IL10+TGFB+",4
"27","TGFB+","Th0",4
"31","Th0","Th0/Th0",4
"38","Th17","Treg",4
"7","IL10+TGFB+","TGFB+",3
"9","IL10+TGFB+","Th0/Th0",3
"11","IL10+TGFB+","Treg",3
"28","TGFB+","Th17",3
"40","Treg","Th0",3
"42","Treg","Th17",3
"3","IL10+","TregIL10+",2
"6","IL10+TGFB+","RORGT+/TGFB+",2
"10","IL10+TGFB+","Th17",2
"16","IL10+TGFB+/TregIL10+","RORGT+/TGFB+",2
"36","Th17","TGFB+",2
"45","TregIL10+","IL10+",2
"39","Treg","RORGT+/TGFB+",1
"41","Treg","Th0/Th0",1
"48","TregIL10+","Th0",1
"49","TregIL10+","Th0/Th0",1
